date_local,parameter,arithmetic_mean,aqi
2018-06-19,Ozone,0.023866599999999998,31.6
2018-06-20,Ozone,0.019999666666666662,26.4
2018-06-21,Ozone,0.023198200000000002,28.8
2018-06-22,Ozone,0.02830973333333334,36.8
2018-06-23,Ozone,0.028737,34.0
2018-06-24,Ozone,0.026171533333333333,35.2
2018-06-25,Ozone,0.02167773333333333,30.8
2018-06-26,Ozone,0.02390984615384615,28.384615384615383
2018-06-27,Ozone,0.021266999999999998,26.4
2018-06-28,Ozone,0.02131273333333333,26.0
2018-06-29,Ozone,0.026554733333333337,40.8
2018-06-30,Ozone,0.030689333333333336,47.2
2018-07-01,Ozone,0.028884599999999993,39.8
2018-07-02,Ozone,0.027305866666666668,37.8
2018-07-03,Ozone,0.016720333333333334,30.6
2018-07-04,Ozone,0.026866333333333332,39.4
2018-07-05,Ozone,0.0321998,47.4
2018-07-06,Ozone,0.026840466666666667,33.8
2018-07-07,Ozone,0.029273533333333334,35.4
2018-07-08,Ozone,0.02304453333333333,32.6
2018-07-09,Ozone,0.027646600000000007,46.8
2018-07-10,Ozone,0.0185002,34.4
2018-07-11,Ozone,0.03389072727272728,48.54545454545455
2018-07-12,Ozone,0.04117225,61.75
2018-07-13,Ozone,0.04040841666666667,79.5
2018-07-14,Ozone,0.03793633333333333,62.0
2018-07-15,Ozone,0.023594749999999998,35.5
2018-07-16,Ozone,0.029785500000000003,42.0
2018-07-17,Ozone,0.036958000000000005,45.2
2018-07-18,Ozone,0.039433499999999996,60.5
2018-07-19,Ozone,0.043470249999999995,74.0
2018-07-20,Ozone,0.04049383333333333,44.25
2018-07-21,Ozone,0.041389166666666664,44.5
2018-07-22,Ozone,0.030662166666666667,35.25
2018-07-23,Ozone,0.030642000000000003,39.5
2018-07-24,Ozone,0.03009041666666666,45.5
2018-07-25,Ozone,0.033623833333333325,55.0
2018-07-26,Ozone,0.03560908333333333,66.5
2018-07-27,Ozone,0.029509083333333335,43.25
2018-07-28,Ozone,0.028178916666666665,40.75
2018-07-29,Ozone,0.03618441666666666,45.75
2018-07-30,Ozone,0.03006016666666667,42.25
2018-07-31,Ozone,0.03202741666666666,43.0
2018-08-01,Ozone,0.03169358333333333,46.75
2018-08-02,Ozone,0.0315962,46.6
2018-08-03,Ozone,0.034107000000000005,60.5
2018-08-04,Ozone,0.03350691666666667,45.75
2018-08-05,Ozone,0.02142816666666667,32.666666666666664
2018-08-06,Ozone,0.02468375,37.75
2018-08-07,Ozone,0.025832416666666667,32.0
2018-08-08,Ozone,0.024853333333333335,36.0
2018-08-09,Ozone,0.028641750000000007,37.0
2018-08-10,Ozone,0.02352575,38.5
2018-08-11,Ozone,0.02907433333333333,50.0
2018-08-12,Ozone,0.026151266666666673,42.0
2018-08-13,Ozone,0.026228066666666668,42.4
2018-08-14,Ozone,0.033327,64.6
2018-08-15,Ozone,0.025618200000000004,31.0
2018-08-16,Ozone,0.0253068,26.2
2018-08-17,Ozone,0.026066733333333335,32.6
2018-08-18,Ozone,0.024485533333333333,41.2
2018-08-19,Ozone,0.026751533333333338,40.0
2018-08-20,Ozone,0.02318586666666667,26.2
2018-08-21,Ozone,0.025770333333333333,30.8
2018-08-22,Ozone,0.02801806666666667,38.6
2018-08-23,Ozone,0.024690399999999998,37.6
2018-08-24,Ozone,0.03958130769230769,44.23076923076923
